Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,332,IPv4,2025-08-21T14:11:25Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2025-08-30T09:00:39Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5040
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5328,IPv4,2025-08-30T09:00:35Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51405
}",ESTAB,5308,IPv4,2025-09-01T06:27:46Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51397
}",ESTAB,5308,IPv4,2025-09-01T06:27:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51400
}",ESTAB,5308,IPv4,2025-09-01T06:27:45Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51395
}",ESTAB,5308,IPv4,2025-09-01T06:27:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51378
}",ESTAB,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8003
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51551
}",ESTAB,5308,IPv4,2025-09-01T06:33:47Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49664
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,848,IPv4,2025-08-21T14:11:25Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49665
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,692,IPv4,2025-08-21T14:11:26Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49666
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1468,IPv4,2025-08-21T14:11:31Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49668
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2568,IPv4,2025-08-21T14:11:36Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49669
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1688,IPv4,2025-08-21T14:11:51Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49674
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,808,IPv4,2025-08-21T14:12:11Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50771
}","{
 ""IP"": ""203.171.247.210"",
 ""Port"": 443
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50772
}","{
 ""IP"": ""23.212.164.201"",
 ""Port"": 443
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50773
}","{
 ""IP"": ""23.212.164.201"",
 ""Port"": 443
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50774
}","{
 ""IP"": ""203.171.247.210"",
 ""Port"": 443
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50775
}","{
 ""IP"": ""203.171.247.235"",
 ""Port"": 443
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50776
}","{
 ""IP"": ""23.38.59.250"",
 ""Port"": 80
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50777
}","{
 ""IP"": ""23.38.59.250"",
 ""Port"": 80
}",CLOSE_WAIT,8772,IPv4,2025-08-30T09:00:46Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 50984
}","{
 ""IP"": ""4.213.25.241"",
 ""Port"": 443
}",ESTAB,2952,IPv4,2025-09-01T06:00:09Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51378
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}",ESTAB,5308,IPv4,2025-09-01T06:27:41Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51395
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,5308,IPv4,2025-09-01T06:27:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51397
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,5308,IPv4,2025-09-01T06:27:44Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51400
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,5308,IPv4,2025-09-01T06:27:45Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51405
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,5308,IPv4,2025-09-01T06:27:46Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51499
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51500
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51503
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51504
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51507
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51508
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51511
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51512
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 51514
}","{
 ""IP"": ""13.89.179.10"",
 ""Port"": 443
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51516
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.37"",
 ""Port"": 51520
}","{
 ""IP"": ""13.89.179.10"",
 ""Port"": 443
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51523
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51524
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51526
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51527
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51530
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51531
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51534
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51535
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 51539
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",TIME_WAIT,0,IPv4,1601-01-01T00:00:00Z,TCP
